incident_day_of_week,police_district,time_period,if_crime
Wednesday,Richmond,Night,0
Tuesday,Southern,Afternoon,0
Friday,Tenderloin,Afternoon,0
Thursday,Bayview,Night,0
Friday,Central,Afternoon,0
Monday,Southern,Evening,1
Friday,Richmond,Evening,0
Friday,Bayview,Morning,1
Friday,Out of SF,Night,0
Wednesday,Central,Night,1
Friday,Central,Afternoon,0
Friday,Ingleside,Afternoon,1
Wednesday,Out of SF,Late Night,0
Thursday,Park,Afternoon,1
Friday,Southern,Night,0
Friday,Ingleside,Afternoon,0
Tuesday,Central,Evening,1
Friday,Central,Late Night,1
Friday,Southern,Afternoon,0
Saturday,Mission,Morning,1
Thursday,Mission,Evening,1
Monday,Bayview,Morning,1
Thursday,Mission,Night,0
Friday,Central,Afternoon,0
Thursday,Ingleside,Afternoon,1
Wednesday,Central,Morning,1
Friday,Taraval,Late Night,1
Friday,Central,Late Night,1
Friday,Northern,Night,1
Friday,Northern,Evening,0
Friday,Central,Morning,0
Friday,Central,Morning,0
Thursday,Central,Night,1
Friday,Taraval,Late Night,1
Friday,Bayview,Late Night,1
Sunday,Southern,Late Night,0
Friday,Taraval,Morning,0
Thursday,Central,Afternoon,1
Friday,Ingleside,Late Night,0
Monday,Southern,Morning,1
Friday,Taraval,Late Night,1
Friday,Mission,Evening,1
Thursday,Mission,Afternoon,1
Wednesday,Mission,Late Night,1
Thursday,Tenderloin,Night,1
Friday,Southern,Morning,0
Thursday,Taraval,Afternoon,1
Saturday,Taraval,Night,0
Thursday,Central,Morning,1
Friday,Ingleside,Morning,1
Wednesday,Bayview,Afternoon,1
Friday,Southern,Late Night,1
Monday,Central,Afternoon,0
Wednesday,Richmond,Night,0
Friday,Taraval,Afternoon,1
Friday,Bayview,Afternoon,1
Sunday,Central,Evening,1
Friday,Bayview,Morning,0
Friday,Mission,Late Night,1
Thursday,Mission,Evening,1
Thursday,Park,Afternoon,1
Monday,Southern,Evening,1
Thursday,Southern,Night,0
Wednesday,Southern,Evening,1
Friday,Tenderloin,Morning,1
Thursday,Mission,Late Night,1
Friday,Northern,Afternoon,1
Thursday,Southern,Afternoon,1
Friday,Bayview,Late Night,1
Friday,Park,Morning,1
Monday,Central,Evening,1
Friday,Mission,Night,0
Friday,Tenderloin,Morning,1
Thursday,Southern,Evening,1
Wednesday,Northern,Morning,0
Wednesday,Mission,Late Night,1
Friday,Out of SF,Morning,0
Friday,Ingleside,Morning,1
Friday,Bayview,Evening,1
Friday,Out of SF,Evening,0
Wednesday,Northern,Evening,1
Friday,Central,Morning,1
Thursday,Mission,Night,1
Friday,Out of SF,Evening,1
Friday,Taraval,Afternoon,1
Friday,Out of SF,Morning,0
Friday,Tenderloin,Late Night,0
Friday,Southern,Late Night,1
Wednesday,Central,Afternoon,0
Friday,Taraval,Late Night,0
Friday,Bayview,Afternoon,0
Monday,Northern,Night,0
Saturday,Mission,Night,1
Friday,Ingleside,Night,0
Friday,Tenderloin,Morning,1
Friday,Ingleside,Late Night,1
Thursday,Central,Afternoon,1
Thursday,Ingleside,Morning,0
Friday,Mission,Night,0
Friday,Northern,Morning,1
Wednesday,Out of SF,Night,1
Wednesday,Richmond,Night,0
Thursday,Out of SF,Morning,1
Friday,Central,Late Night,1
Friday,Southern,Night,1
Thursday,Out of SF,Night,1
Friday,Tenderloin,Afternoon,1
Friday,Ingleside,Evening,1
Thursday,Ingleside,Evening,1
Saturday,Southern,Late Night,1
Friday,Northern,Morning,1
Thursday,Ingleside,Morning,1
Friday,Southern,Night,0
Thursday,Ingleside,Afternoon,1
Wednesday,Southern,Evening,1
Friday,Ingleside,Afternoon,0
Thursday,Mission,Night,1
Friday,Out of SF,Evening,0
Wednesday,Richmond,Morning,1
Thursday,Mission,Evening,1
Friday,Richmond,Late Night,1
Thursday,Ingleside,Morning,0
Friday,Park,Afternoon,1
Friday,Mission,Evening,1
Friday,Tenderloin,Morning,1
Friday,Tenderloin,Night,0
Thursday,Park,Evening,1
Thursday,Taraval,Evening,0
Thursday,Southern,Night,0
Thursday,Richmond,Morning,1
Friday,Bayview,Night,1
Thursday,Tenderloin,Night,1
Wednesday,Mission,Morning,1
Friday,Ingleside,Afternoon,1
Thursday,Out of SF,Morning,1
Friday,Southern,Late Night,0
Thursday,Central,Evening,1
Friday,Out of SF,Night,0
Friday,Central,Afternoon,1
Thursday,Out of SF,Night,0
Friday,Mission,Night,1
Thursday,Ingleside,Morning,0
Friday,Ingleside,Afternoon,1
Friday,Taraval,Night,1
Friday,Park,Morning,0
Friday,Central,Afternoon,0
Friday,Richmond,Evening,1
Thursday,Park,Evening,1
